Year Column,Missing Count,Total Countries,Missing %,Status
2000 [YR2000],560,1824,30.7,WARN
2001 [YR2001],553,1824,30.32,WARN
2002 [YR2002],538,1824,29.5,WARN
2003 [YR2003],510,1824,27.96,WARN
2004 [YR2004],507,1824,27.8,WARN
2005 [YR2005],477,1824,26.15,WARN
2006 [YR2006],474,1824,25.99,WARN
2007 [YR2007],476,1824,26.1,WARN
2008 [YR2008],462,1824,25.33,WARN
2009 [YR2009],414,1824,22.7,WARN
2010 [YR2010],358,1824,19.63,WARN
2011 [YR2011],346,1824,18.97,WARN
2012 [YR2012],343,1824,18.8,WARN
2013 [YR2013],332,1824,18.2,WARN
2014 [YR2014],294,1824,16.12,WARN
2015 [YR2015],321,1824,17.6,WARN
2016 [YR2016],311,1824,17.05,WARN
2017 [YR2017],260,1824,14.25,WARN
2018 [YR2018],312,1824,17.11,WARN
2019 [YR2019],268,1824,14.69,WARN
2020 [YR2020],305,1824,16.72,WARN
2021 [YR2021],279,1824,15.3,WARN
2022 [YR2022],297,1824,16.28,WARN
2023 [YR2023],369,1824,20.23,WARN
2024 [YR2024],765,1824,41.94,WARN
