Year Column,Missing Count,Total Countries,Missing %,Status
2000 [YR2000],20,160,12.5,WARN
2001 [YR2001],19,160,11.88,WARN
2002 [YR2002],16,160,10.0,WARN
2003 [YR2003],16,160,10.0,WARN
2004 [YR2004],15,160,9.38,WARN
2005 [YR2005],13,160,8.12,WARN
2006 [YR2006],16,160,10.0,WARN
2007 [YR2007],16,160,10.0,WARN
2008 [YR2008],12,160,7.5,WARN
2009 [YR2009],13,160,8.12,WARN
2010 [YR2010],13,160,8.12,WARN
2011 [YR2011],11,160,6.88,WARN
2012 [YR2012],11,160,6.88,WARN
2013 [YR2013],6,160,3.75,OK
2014 [YR2014],5,160,3.12,OK
2015 [YR2015],3,160,1.88,OK
2016 [YR2016],3,160,1.88,OK
2017 [YR2017],2,160,1.25,OK
2018 [YR2018],3,160,1.88,OK
2019 [YR2019],3,160,1.88,OK
2020 [YR2020],3,160,1.88,OK
2021 [YR2021],2,160,1.25,OK
2022 [YR2022],5,160,3.12,OK
2023 [YR2023],15,160,9.38,WARN
2024 [YR2024],65,160,40.62,WARN
