Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8936.1955889444,8836.28546025694,10080.5078722821,9300.66072904004,9029.83304401079,7074.19407495707,7972.53696080695,9281.33282136864
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,48.4340400695801,48.3333396911621,50.0267486572266,51.1916885375977,52.6240615844727,54.572811126709,56.8306198120117,60.3906211853027
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.24105978012085,6.314040184021,6.32047986984253,6.08851003646851,5.96346998214722,5.77150011062622,5.4969801902771,5.61922979354858
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,36702.4323733379,37024.2157133669,38687.1626407164,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245,40988.6396406579
France,FRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,62.7859306335449,64.7276763916016,65.8022308349609,67.5435180664062,67.7331314086914,68.8709411621094,69.9397888183594,71.5107269287109
France,FRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,5.46482992172241,5.42540979385376,5.36638021469116,5.65872001647949,5.41742992401123,5.32435989379883
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41929.7549110722,42948.9381932694,45553.9341495339,48916.1686612154,47656.199739747,47394.8734504469,52349.2459994422,50506.5179638543
Germany,DEU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,68.23291015625,67.9464111328125,68.4692306518555,69.1634292602539,72.705078125,72.3894195556641,75.6655426025391,77.3656997680664
Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.76157999038696,4.74631023406982,4.77830982208252,4.88400983810425,5.02757978439331,5.51600980758667,5.36734008789062,5.23916006088257
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1583.99815907985,1707.50892912243,1950.10468280866,1966.25455171679,2041.42863698585,1907.04251637669,2239.61384367482,2347.44829434623
India,IND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,27.0646411471569,27.0875990028504,27.7311089156625,28.3540737878038,28.7996949674505,29.5619706114824,31.3171017843903,32.4539938196142
India,IND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.11457014083862,4.25407981872559,4.30544996261597,4.36373996734619,3.89732003211975,4.29335021972656,4.62949991226196,4.09865814174589
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3288.22269725538,3521.46943457574,3798.88326174526,3860.95353090726,4106.94856160358,3853.70288774146,4287.17313995098,4730.83484836107
