Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Germany,DEU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4592.07128906,5016.23583984,4744.87011719,5080.62402344,5287.34423828,4605.59033203,4723.32421875,5039.35302734,5473.55712891,5447.31787109,5906.80615234,6653.58349609,6226.14208984,6394.62255859
Germany,DEU,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,82.6,83.1,83.1,83.0,83.6,83.1,83.5,83.4,83.3,83.7,83.5,83.3,83.0,83.0
Germany,DEU,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.2763066858384,51.2326158859928,51.1263527698159,51.013962819901,50.93788616999,50.7760081681774,50.650387663244,50.6371624174512,50.6244048561935,50.6200120235733,50.6255262173185,50.6322657700301,50.6321243311345,50.6248191047309
India,IND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,44.79586029,48.18242264,48.45263672,55.46933746,56.3490181,58.12401581,59.72652817,56.66844559,57.46551132,60.6913681,63.83099747,75.54971313,81.50888824,84.68669891
India,IND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,68.809,69.28,69.735,70.151,70.567,70.94,71.297,71.632,71.963,72.287,71.938,68.835,73.271,73.598
India,IND,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.2824591358397,48.289146720856,48.2967192224499,48.3051843756823,48.3138078866449,48.3218315964544,48.3299201412735,48.3385229249662,48.3471809414411,48.3559820255384,48.3697182728258,48.3862189133723,48.3990824754438,48.4111710543389
Indonesia,IDN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,85.55950165,107.00540161,105.85425568,102.33824921,102.00482178,96.15701294,106.40021515,110.32610321,110.71585846,118.22380829,131.8225708,158.89761353,127.44384766,131.77729797
Indonesia,IDN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,70.152,70.463,70.721,70.971,71.238,71.46,71.692,71.945,72.113,72.389,71.097,69.437,72.981,73.268
Indonesia,IDN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.8015986840918,49.7925225744149,49.7837626871783,49.77624683125,49.770428009552,49.7654498619284,49.7608864550838,49.7572226992267,49.7548879522947,49.7532801103908,49.7577219858259,49.7642603375303,49.7650079773008,49.7650226377485
Japan,JPN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4071.80200195,5103.34326172,5232.36279297,4356.15527344,4121.21142578,3754.18115234,4194.22802734,4135.24316406,4265.77929688,4431.29980469,4581.60986328,4843.94433594,4201.79248047,3638.19287109
